PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE ,ORBIT UPDATES
1996-12-06.17,C/1996 X3 SOHO-1080,R. Kracht,C2 C3,0.0426, 
1996-12-06.28,C/1996 X4 SOHO-1081,R. Kracht,C2 C3,0.0492, 
1996-12-06.33,C/1996 X5 SOHO-1082,R. Kracht,C2,0.0490, 
1999-06-30.70,C/1999 M3 SOHO-402,R. Kracht,C2,0.0441,7853 7854
1999-07-12.30,C/1999 N6 SOHO-409,R. Kracht,C2,0.0435,7854
2000-07-30.94,C/2000 O3 SOHO-189,J. Shanklin,C2 C3,0.0540,7479
2001-08-21.80,C/2001 Q7 SOHO-345,R. Kracht,C2,0.0445,7718
2001-08-24.81,C/2001 Q8 SOHO-485,R. Kracht,C2,0.0451,7952
2001-09-06.67,C/2001 R8 SOHO-487,R. Kracht,C2,0.0437,7952
2001-09-07.32,C/2001 R9 SOHO-488,R. Kracht,C2,0.0472,7952
2002-07-11.92,C/2002 N2 SOHO-501,R. Kracht,C2,0.0490,7956
2002-08-25.92,C/2002 Q8 SOHO-504,X.-M. Zhou,C2,0.0462,7963 MPEC 2008-F32
2002-08-27.50,C/2002 Q10 SOHO-505,R. Kracht,C2,0.0484,7969
2002-09-18.22,C/2002 S4 SOHO-519,R. Matson,C2 C3,0.0484,7984
2002-09-19.33,C/2002 S5 SOHO-520,R. Kracht,C2,0.0467,7984 7986
2002-09-21.06,C/2002 S7 SOHO-522,R. Matson,C2 C3,0.0483,7986
2002-09-30.34,C/2002 S11 SOHO-526,T. Scarmato,C2 C3,0.0482,7991
2004-01-16.16,C/2004 A3 SOHO-725,T. Hoffman,C2,0.0433,8365
2004-01-18.27,C/2004 B3 SOHO-727,X.-M. Zhou,C2,0.0515,8365
2004-05-05.33,C/2004 J4 SOHO-770,R. Kracht,C2,0.0417,8366
2004-05-12.91,C/2004 J12 SOHO-777,R. Kracht,C2,0.0398,8366
2004-05-13.77,C/2004 J20 SOHO-1271,B.Zhou,C2,0.0419, 
2004-05-13.85,C/2004 J13 SOHO-779,R. Kracht,C2,0.0441,8366
2004-05-14.75,C/2004 J15 SOHO-780,R. Kracht,C2,0.0438,8366
2004-05-14.97,C/2004 J16 SOHO-781,T. Hoffman,C2,0.0314,8366
2004-05-15.55,C/2004 J17 SOHO-782,R. Kracht,C2,0.0356,8367
2004-05-15.69,C/2004 J18 SOHO-783,R. Kracht,C2,0.0461,8367
2004-06-14.10,C/2004 L10 SOHO-802,R. Kracht,C2,0.0431,8380
2005-11-23.49971,C/2005 W4 SOHO-1057,B. Zhou,C2 C3,0.0540, 
2008-03-03.01,C/2008 E04 SOHO-1446,H. Su,C2,0.0494, 
2008-04-13.54,C/2008 G06 SOHO-1454,B. Zhou,C2,0.0483, 
2008-07-04.38,C/2008 N04 SOHO-1505,T.Hoffman,C2,0.0485, 
2008-09-06.60,C/2008 R07 SOHO-1526,R.Kracht,C2 C3,0.0479, 
2009-06-07.43,C/2009 L08 SOHO-1664,T.Hoffman,C2,0.0414, 
2009-06-09.16,C/2009 L13 SOHO-1668,R.Kracht,C2,0.0438, 
2009-,C/2009 SOHO-1770,R.Kracht,C2,   , 
2010-,C/2010 SOHO-1936,R.Matson,C2 C3,   , 
2011 ,C/2011 SOHO-2033 ,R.Kracht ,C3/C2 ,   , 
2012 ,C/2012 SOHO-2225 ,S.Schmalz ,C2 ,   , 
2013 ,C/2013 SOHO-2624 ,Z.Xu ,C2 ,   , 
2014 ,C/2014 SOHO-2779 ,A.Kubczak ,C2 ,   , 
2014 ,C/2014 SOHO-2802 ,Z.Xu ,C2 C3 ,   , 
2015 ,C/2015 SOHO-3081 ,M.Uchina ,C2 ,   , 
