PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE ,ORBIT UPDATES ,Auto/Vis. Disc.
1999-02-06.74,C/1999 C2 SOHO-113,D. Biesecker,C3,0.0068,7422,A
1999-02-07.87,C/1999 C1 SOHO-58,D. Lewis,C2 C3,0.0062,7123,V
1999-03-03.72,C/1999 E2 SOHO-108,M. Oates,C3,0.0051,7377,V
1999-03-,C/1999 SOHO-1960,M. Kusiak,C3,, ,V
1999-04-02.41,C/1999 G3 SOHO-171,M. Oates,C2,0.0092,7458,V
1999-04-03.86,C/1999 G4 SOHO-172,M. Oates,C2,0.0073,7458,V
1999-04-11.62,C/1999 G5 SOHO-174,M. Oates,C2,0.0062,7459,V
1999-04-13.73,C/1999 G2 SOHO-59,D. Biesecker,C2,0.0049,7142,V
1999-04-19.63,C/1999 H2 SOHO-60,D. Biesecker,C2,0.0051,7147,V
1999-04-20.31,C/1999 H8 SOHO-395,R. Kracht,C2,0.0050,7839,V
1999-04-20.85,C/1999 H7 SOHO-175,M. Oates,C2,0.0082,7459,V
1999-04-24.87,C/1999 H5 SOHO-168,M. Oates,C2,0.0051,7454,V
1999-04-26.59,C/1999 H9 SOHO-396,R. Kracht,C2,0.0072,7839,V
1999-04-27.87,C/1999 H4 SOHO-61,S. Gregory,C2 C3,0.0055,7157,V
1999-04-29.15,C/1999 H6 SOHO-170,M. Oates,C2,0.0062,7458,V
1999-05-03.48,C/1999 J12 SOHO-176,M. Oates,C2,0.0051,7459,V
1999-05-05.79,C/1999 J7 SOHO-125,M. Oates,C2,0.0070,7439,V
1999-05-08.13,C/1999 J8 SOHO-122,M. Oates,C2,0.0056,7439,V
1999-05-08.50,C/1999 J1 SOHO-62,D. Biesecker,C2 C3,0.0062,7162,V
1999-05-09.61,C/1999 J9 SOHO-126,M. Oates,C2,0.0050,7439,V
1999-05-11.44,C/1999 J10 SOHO-124,M. Oates,C2,0.0072,7439,V
1999-05-14.40,C/1999 J13 SOHO-397,R. Kracht,C2,0.0052,7839,V
1999-05-14.93,C/1999 J11 SOHO-123,M. Oates,C2,0.0051,7439,V
1999-05-20.32,C/1999 K11 SOHO-129,M. Oates,C2,0.0050,7439,V
1999-05-21.37,C/1999 K1 SOHO-63,D. Biesecker,C2 C3 UVCS,0.0051,7173,V
1999-05-23.98,C/1999 K12 SOHO-131,M. Oates,C2,0.0065,7439,V
1999-05-24.48,C/1999 K9 SOHO-64,A. Vourlidas,C2 C3,0.0065,7204,V
1999-05-24.68,C/1999 K13 SOHO-132,M. Oates,C2,0.0075,7439,V
1999-05-28.23,C/1999 K17 SOHO-400,R. Kracht,C2,0.0062,7842,V
1999-05-28.46,C/1999 K14 SOHO-133,M. Oates,C2,0.0064,7439,V
1999-05-29.25,C/1999 K15 SOHO-134,M. Oates,C2,0.0051,7439,V
1999-06-01.35,C/1999 K10 SOHO-65,D. Biesecker,C2 C3,0.0055,7204,V
1999-06-01.70,C/1999 L6 SOHO-157,M. Oates,C2,0.0050,7452,V
1999-06-02.02,C/1999 L4 SOHO-66,A. Vourlidas,C2 C3,0.0078,7204,V
1999-06-03.68,C/1999 L7 SOHO-156,M. Oates,C2,0.0076,7452,V
1999-06-05.90,C/1999 L1 SOHO-67,D. Biesecker,C2 C3,0.0053,7197,V
1999-06-06.72,C/1999 L8 SOHO-163,M. Oates,C2,0.0054,7452,V
1999-06-11.58,C/1999 L5 SOHO-68,D. Biesecker,C2 C3,0.0077,7208,V
1999-06-16.93,C/1999 M1 SOHO-69,D. Biesecker,C2 C3,0.0055,7208,V
1999-06-24.65,C/1999 M4 SOHO-531,M. Oates,C2 C3,0.0081,8022,V
1999-06-27.72,C/1999 M2 SOHO-70,D. Biesecker,C2,0.0049,7212,V
1999-07-01.69,C/1999 N1 SOHO-71,D. Lewis,C2 C3,0.0052,7213,V
1999-07-10.38,C/1999 N3 SOHO-72,D. Biesecker,C3,0.0055,7222,V
1999-07-22.56,C/1999 O2 SOHO-73,D. Lewis,C3,0.0079,7376,V
1999-08-01.12,C/1999 O1 SOHO-75,T. Lovejoy,C3,0.0052,7367,V
1999-08-01.36,C/1999 O3 SOHO-74,T. Lovejoy,C3,0.0051,7376,V
1999-08-04.06,C/1999 P3 SOHO-76,D. Lewis,C3,0.0063,7367,V
1999-08-06.17,C/1999 P2 SOHO-77,K. Schenk,C3,0.0049,7234,V
1999-08-10.14,C/1999 P4 SOHO-78,D. Lewis,C3,0.0050,7376,V
1999-08-12.99,C/1999 P5 SOHO-79,A. Vourlidas,C3,0.0063,7376,V
1999-08-24.47,C/1999 Q1 SOHO-80,T. Lovejoy,C3,0.0053,7376,V
1999-08-25.10,C/1999 Q2 SOHO-81,K. Schenk,C3,0.0050,7376,V
1999-08-31.74,C/1999 Q3 SOHO-82,D. Biesecker,C3,0.0052,7376,V
1999-09-06.08,C/1999 R3 SOHO-83,K. Schenk,C3,0.0053,7376,V
