PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE
2006-01-03.61,C/2006 A4 SOHO-1086,R.Matson,C2 C3,0.0053
2006-01-05.66,C/2006 A5 SOHO-1087,T.Hoffman,C2 C3,0.0043
2006-01-10.63,C/2006 A8 SOHO-1295,B.Zhou,C3,0.0048
2006-01-10.88,C/2006 A6 SOHO-1088,T.Hoffman,C3,0.0056
2006-01-13.20,C/2006 A7 SOHO-1089,S.Farmer Jr,C3,0.0049
2006-01-20.93,C/2006 B2 SOHO-1090,H.Su,C3,0.0051
2006-01-22.99,C/2006 B3 SOHO-1091,R.Kracht,C3,0.0052
2006-01-27.42,C/2006 B5 SOHO-1093,R.Matson,C3,0.0050
2006-01-31.01,C/2006 B6 SOHO-1094,K.Battams, Q.Ye,C3,0.0061
2006-02-08.84,C/2006 C1 SOHO-1097,R.Matson,C3,0.0049
2006-02-10.74,C/2006 C2 SOHO-1098,S.Farmer Jr,C3,0.0061
2006-02-11.52,C/2006 C3 SOHO-1099,S.Farmer Jr,C3,0.0052
2006-02-17.34,C/2006 D2 SOHO-1100,H.Su,C2 C3,0.0050
2006-02-20.33,C/2006 D3 SOHO-1103,S.Farmer Jr,C3,0.0050
2006-02-21.70,C/2006 D4 SOHO-1104,H.Su,C3,0.0052
2006-02-27.14,C/2006 D5 SOHO-1105,S.Hoeing,C3,0.0049
2006-03-01.77,C/2006 D6 SOHO-1106,S.Farmer Jr,C3,0.0054
2006-03-13.85,C/2006 E3 SOHO-1111,H.Su,C3,0.0070
2006-03-15.39,C/2006 E4 SOHO-1112,T.Hoffman,C2,0.0051
2006-03-21.96,C/2006 F5 SOHO-1114,M.Mazzucato,C3,0.0050
2006-03-28.64,C/2006 F7 SOHO-1118,R.Matson,C2,0.0050
2006-03-31.10,C/2006 F8 SOHO-1119,H.Su,C2 C3,0.0052
2006-04-11.64,C/2006 G2 SOHO-1120,T.Hoffman,C2,0.0051
2006-04-14.89,C/2006 G3 SOHO-1121,J.Sachs,C2,0.0049
2006-04-17.87,C/2006 H2 SOHO-1122,H.Su,C2,0.0051
2006-04-19.71,C/2006 H3 SOHO-1123,K.Battams,C2,0.0050
2006-04-22.57,C/2006 H4 SOHO-1124,A.Ambrus,C2 C3,0.0048
2006-04-24.67,C/2006 H5 SOHO-1125,H.Su,C2,0.0052
2006-04-28.97,C/2006 H6 SOHO-1126,H.Su&J.Sachs,C2 C3,0.0049
2006-05-03.62,C/2006 J1 SOHO-1127,H.Su,C2,0.0070
2006-05-04.79,C/2006 J2 SOHO-1128,T.Hoffman,C2,0.0051
2006-05-04.89,C/2006 J3 SOHO-1129,H.Su,C2,0.0049
2006-05-09.26,C/2006 J6 SOHO-1132,R.Matson&J.Sachs,C2,0.0051
2006-05-09.40,C/2006 J4 SOHO-1130,K.Battams,C2 C3,0.0050
2006-05-10.55,C/2006 J7 SOHO-1133,T.Hoffman,C2,0.0050
2006-05-10.54,C/2006 J8 SOHO-1134,T.Hoffman,C2,0.0050
2006-05-10.98,C/2006 J9 SOHO-1135,H.Su&T.Chen,C2,0.0055
2006-05-11.65,C/2006 J10 SOHO-1136,T.Hoffman,C2,0.0057
