PERIHELION DATE ,COMET DESIGNATION ,COMET DISCOVERER ,TELESCOPE ,PERIHELION DISTANCE ,ORBIT UPDATES
1996-11-11.78,C/1996 V2 SOHO-930,R. Kracht,C3,0.0488, 
1997-01-29.51,C/1997 B5 SOHO-1083,R. Kracht,C2,0.0512, 
1997-01-29.61,C/1997 B6 SOHO-1084,R .Kracht,C2,0.0501, 
1997-01-29.65,C/1997 B7 SOHO-1085,R. Kracht,C2,0.0490, 
1998-01-03.74,C/1998 A2 SOHO-404,R. Kracht,C2,0.0410,7853
1998-01-10.79,C/1998 A4 SOHO-406,R. Kracht,C2,0.0431,7863
1998-01-09.30,C/1998 A3 SOHO-407,R. Kracht,C2,0.0419,7853
1999-05-11.59,C/1999 J6 SOHO-109,M. Oates,C2 C3,0.0492,7386 7832
1999-07-11.24,C/1999 N5 SOHO-408,R. Kracht,C2 C3,0.0496,7854
1999-08-05.11,C/1999 P6 SOHO-411,R. Kracht,C2,0.0494,7863
1999-08-14.99,C/1999 P8 SOHO-413,R. Kracht,C2,0.0494,7863
1999-08-15.04,C/1999 P9 SOHO-414,R. Kracht,C2,0.0493,7863
1999-10-25.23,C/1999 U2 SOHO-090,S. Gregory  and  J. Shanklin,C2 C3,0.0492,7292 7832
2000-02-04.48,C/2000 C7 SOHO-441,R. Kracht,C2,0.0481,7919  7958
2000-02-04.59,C/2000 C3 SOHO-102,D.A. Biesecker,C2,0.0487,7364 7832
2000-02-05.17,C/2000 C4 SOHO-101,M. Meyer,C2 C3,0.0487,7364 7832
2002-09-02.54,C/2002 R1 SOHO-511,R. Kracht,C2,0.0492,7969
2002-09-03.30,C/2002 R4 SOHO-512,R. Kracht,C2,0.0520,7984
2002-11-12.42,C/2002 V5 SOHO-542,R. Matson,C2 C3,0.0506,8073
2003-08-21.00,C/2003 Q1 SOHO-651,T. Hoffman,C2,0.0499,8339  MPEC 2008-Y06
2003-08-25.14,C/2003 Q6 SOHO-656,R. Kracht,C2,0.0494,8339 MPEC 2008-Y06
2004-11-08.56,C/2004 V9 SOHO-859,H. Otterstedt,C2 C3,0.0492, 
2004-11-08.45,C/2004 V10 SOHO-860,K. Battams,C2,0.0488, 
2004-11-29.26,C/2004 W10 SOHO-873,R. Kracht,C2,0.0467, 
2005-03-10.54,C/2005 E4 SOHO-915,R. Kracht,C2 C3,0.0487, 
2005-04-14.26,C/2005 G2 SOHO-939,H. Su,C2 C3,0.0492,MPEC 2005-H24
2005-11-17.28,C/2005 W1 SOHO-1048,H. Su,C2 C3,0.0482, 
2005-11-29.91,C/2005 W5 SOHO-1062,H. Su,C2 C3,0.0494, 
2006-03-15.42,C/2006 E2 SOHO-1113,R. Matson,C2 C3,0.0482, 
2006-03-25.54,C/2006 F3 SOHO-1117,T. Hoffman,C2,0.0510, 
2007-12-22.16,C/2007 Y4 SOHO-1422,R.Kracht,C2,0.0505, 
2008-01-15.75,C/2008 A3 SOHO-1429,R.Kracht,C2,0.0493, 
2008-12-07.55,C/2008 X06 SOHO-1593,R.Kracht,C2,0.0497, 
2008-12-07.59,C/2008 X05 SOHO-1582,R.Kracht,C2,0.0342, 
2008-12-22.24,C/2008 Y11 SOHO-1593,R.Kracht,C2,0.0476, 
2009-05-15.68,C/2009 J12 SOHO-1650,R.Kracht,C2,0.0417, 
2009-,C/2009 SOHO-1712,B.Zhou,C2 C3,   , 
2009-,C/2009 SOHO-1717,B.Zhou,C2 C3,   , 
2009-,C/2009 SOHO-1828,J.Ruan,C2 C3,   , 
2010-,C/2010 SOHO-1882,R.Kracht,C2,   , 
2010-,C/2010 SOHO-1884,B.Zhou,C2,   , 
2011 ,C/2011 SOHO-2024 ,R.Matson ,C2 C3 ,   , 
2011 ,C/2011 SOHO-2096 ,R.Kracht ,C2 ,   , 
2011 ,C/2011 SOHO-2115 ,A.Watson ,C2 C3 ,   , 
2012 ,C/2012 SOHO-2254 ,B.Zhou ,C2 C3 ,   , 
2012 ,C/2012 SOHO-2261 ,S.Liwo ,C2 ,   , 
2012 ,C/2012 SOHO-2263 ,Schmalz and Kida ,C2 C3 ,   , 
2012 ,C/2012 SOHO-2275 ,S.Schmalz ,C2 ,   , 
2012 ,C/2012 SOHO-2283 ,Z.Xu ,C2 ,   , 
2012 ,C/2012 SOHO-2295 ,B.Zhou ,C2 C3 ,   , 
2014 ,C/2014 SOHO-2825 ,Z.Xu ,C2 C3 ,   , 
2015 ,C/2015 SOHO-3075 ,B.Zhou ,C2 ,   , 
2015 ,C/2015 SOHO-3078 ,B.Zhou ,C2 ,   , 
