PERIHELION DATE,COMET DESIGNATION,COMET DISCOVERER,TELESCOPE
1997-01-21.75,C/1997 B4 SOHO-923,R. Kracht,C3
1997-05-02.83,C/1997 H2 SOHO-008,S. Stezelberger,C2 C3 UVCS
1997-06-26.16,C/1997 K2 SOHO-093,T. Makkinen,SWAN
1997-09-29.34,C/1997 S4 SOHO-466,R. Kracht,C2
1997-11-03.32,C/1997 V7 SOHO-929,R. Kracht,C3
1997-11-14.06,C/1997 V9 SOHO-1107,R. Kracht,C2
1998-04-12.39,C/1998 G3 SOHO-046,K. Schenk,C2  C3
1998-05-08.616,C/1998 J1 SOHO-049,S. Stezelberger,C3
1999-07-18.81,C/1999 O4 SOHO-532,R. Kracht,C3
1999-12-12.67,C/1999 X3 SOHO-1157,H. Su,C2
1999-12-28.71,C/1999 Y2 SOHO-95,K. Cernis,C2 C3
2000-05-08.02,C/2000 J2 SOHO-112,M. Oates,C2
2000-08-29.43,C/2000 Q1 SOHO-203,J. Danaher,C3
2000-10-27.06,C/2000 S5 SOHO-429,T. Makkinen,SWAN
2000-11-11.46,C/2000 V4 SOHO-942,R. Kracht,C3
2000-12-20.85,C/2000 Y6 SOHO-277,M. Meyer,C2
2000-12-20.85,C/2000 Y7 SOHO-278,S. Hoenig,C2
2001-02-13.29,C/2001 C5 SOHO-297,M. Oates,C2  C3
2001-02-19.01,C/2001 D1 SOHO-478,R. Kracht,C2
2001-07-06.30,C/2001 N1 SOHO-340,X. Leprette,C2
2001-08-05.49,C/2001 P1 SOHO-343,T. Scarmato,C2  C3
2001-08-26.51,C/2001 Q3 SOHO-346,D. Chen,C2  C3
2001-10-15.77,C/2001 T5 SOHO-359,X. Zhou,C3
2002-04-02.83,C/2002 G1 SOHO-417,R. Kracht,C2
2002-04-16.70,C/2002 G3 SOHO-422,X. Zhou,C3
2002-08-19.42,C/2002 Q9 SOHO-508,R. Kracht,C2
2002-08-23.67,C/2002 Q6 SOHO-502,X. Leprette,C2
2002-09-09.4491,C/2002 O6 SOHO-497,M. Suzuki,SWAN
2003-04-05.30,C/2003 G3 SOHO-596,J. Sachs,C2 C3
2003-04-30.56,C/2003 H6 SOHO-602,R. Kracht,C2
2003-04-30.57,C/2003 H7 SOHO-603,R. Kracht,C2
2003-06-01.25,C/2003 K3 SOHO-617,H. Otterstedt,C3
2003-09-06.96,C/2003 R4 SOHO-663,R. Kracht,C2
2003-09-25.35,C/2003 S9 SOHO-668,R. Kracht,C2
