Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of
3206,Oct04 2016 10:40:31	, S.Liwo, C3,Kreutz,Oct04 2016
3207,Oct04 2016 15:16:59	, T.Prestgard,C2,Kreutz,Oct03 2016
3208,Oct06 2016 09:19:31	 Prestgard,Kanbi,C2,Kreutz,Oct06 2016
3209,Oct14 2016 07:33:47	, B.Zhou, C2,Kreutz,Oct14 2016
3210,Oct14 2016 18:44:16	, S.Shurpakov,C2,Kreutz,Oct14 2016
3211,Oct15 2016 06:16:09	, W.Boonplod, C3 C2, Kreutz,Oct14-15 2016
3212,Oct17 2016 17:19:12	, M.Uchina, C2,Kreutz,Oct17 2016
3213,Oct17 2016 19:30:21	, W.Boonplod, C2,Kreutz,Oct17-18 2016
3214,Oct17 2016 20:08:00	, W.Boonplod, C2,Kreutz,Oct17 2016
3215,Oct18 2016 06:47:30	, T.Prestgard,C2,Kreutz,Oct17 2016
3216,Oct20 2016 18:37:00	, W.Boonplod, C2,Kreutz,Oct20 2016
3217,Oct20 2016 21:44:48	, W.Boonplod, C2,Kreutz,Oct21 2016
3218,Oct22 2016 07:47:49	, S.Liwo, C3 C2, Kreutz,Oct22 2016
3219*, Oct24 2016 07:38am	, W.Boonplod, C2,Kreutz,Oct23 2016
3220,Oct26 2016 02:25:46	, W.Boonplod, C3 C2, Kreutz,Oct26 2016
3221,Oct28 2016 19:01:46	, T.Prestgard,C2,Kreutz,Oct28 2016
3222,Oct30 2016 03:29:43	, S.Shurpakov,C3 C2, Kreutz,Oct30 2016
3223,Oct30 2016 20:08:38	, W.Boonplod, C3,Kreutz,Oct30-31 2016
