Soho#,Date/Time of Post,Discoverer, Tel, Group, Images of...
3922,Apr04 2020 11:52:57, K.Kida, C2,Kreutz,Apr04 2020
3923,Apr04 2020 13:53:35, S.Liwo,C3 C2,Kreutz,Apr04-05 2020
3924,Apr06 2020 09:27:28, W.Boonplod, C2,Kreutz,Apr06 2020
3925,Apr09 2020 19:07:19, Boonplod/Uchina ,C2, Kreutz,Apr09 2020
3926,Apr10 2020 01:24:16, W.Boonplod, C2,Kreutz,Apr10 2020
3927*, Apr11 2020 12:12am,M.Uchina,C3 C2,Kreutz,Apr10-11 2020
3928,Apr16 2020 07:21:26, M.Uchina, C2,Kreutz,Apr14 2020 
3929,Apr17 2020 10:13:28, K.Kida,C3 C2,Kreutz,Apr17-18 2020
3930,Apr17 2020 11:12:21, M.Kusiak, C2,Kreutz,Apr17 2020
3931,Apr17 2020 11:38:36, W.Boonplod, C2,Meyer, Apr16-17 2020
3932,C/2020 F8 (SWAN),M.Mattiazzo, SWAN, NonGrp,
3933,Apr21 2020 14:47:25, Z.Xu, C2,Kreutz,Apr21 2020
3934,Apr25 2020 08:29:39, Z.Cao,C2,Kreutz,Apr25 2020
3935,Apr27 2020 08:49:21, M.Kusiak, C2,Kreutz,Apr27 2020
3936,Apr29 2020 14:46:32, W.Boonplod, C2,Kreutz,Apr29 2020
