Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of...
3954,May01 20 08:42:10, K.Kida, C2,Kreutz,May01 20
3955,May02 20 19:23:22, T.Prestgard,C2,Kreutz,May02 20
3956,May08 20 09:07:36, W.Boonplod, C2,Kreutz,May08 20
3957,May09 20 20:08:05, W.Boonplod, C2,Kreutz,May09-10 20
3958,May10 20 01:17:19, W.Boonplod, C2,Kreutz,May10 20
3959,May10 20 02:22:24, M.Uchina, C2,Kreutz,May10 20
3960,May10 20 17:13:03, M.Uchina, C2,Kreutz,May10 20
3961,May11 20 11:40:00, Z.Xu, C2,Kreutz,May11 20
3962,May11 20 22:55:27, W.Boonplod, C2,Kreutz,May12 20
3963,May14 20 01:51:58, W.Boonplod,C3 C2,Kreutz,May13-14 20
XC94,May16 20 00:11:08, M.Uchina, C2,Kreutz,May15 20
3964,May18 20 03:19:51, M.Uchina, C2,Kreutz,May18 20
3965,May19 20 00:18:56, W.Boonplod, C2,Kreutz,May18-19 20
3966,May19 20 08:35:56, M.Uchina,C3 C2,Kreutz,May19-20 20
3967,May20 20 13:50:43, M.Uchina, C2,Kreutz,May20 20
3968,May21 20 21:06:35, W.Boonplod,C3 C2,NonGrp,May21-22 20
3969,May22 20 02:46:20, W.Boonplod,C3 C2,Kreutz,May22 20
3970,May22 20 09:00:28, W.Boonplod, C2,Meyer, May22 20
3971,May22 20 21:43:55, W.Boonplod, C2,Kreutz,May23 20
3972,May28 20 06:43:51, M.Uchina, C2,Kreutz,May26 20
3973,May28 20 10:55:56, W.Boonplod, C2,Kreutz,May28 20
3974,May29 20 05:51:42, W.Boonplod, C2,Kreutz,May29 20
3975,May29 20 17:29:29, W.Boonplod,C3 C2,Meyer, May29 20
3976,May30 20 06:42:45, W.Boonplod, C2,Meyer, May29-30 20
3977,May30 20 23:23:02, W.Boonplod,C3 C2,Kreutz,May31-Jun01 20
3978,May30 20 23:49:48, W.Boonplod, C2,Kreutz,May20 20
3979,May19 20 10:17:45, W.Boonplod, C2,Kreutz,May19 20
3980,May31 20 23:57:24, M.Uchina, C2,Kreutz,Jun01 20 
3981,Jun02 20 00:22:47,W.Boonplod,C2,Kreutz,Jun01 20
3982,Jun02 20 17:06:59,W.Boonplod,C2,Kreutz,Jun02 20
3983,Jun03 20 06:53:16,M.Uchina,C2,Kreutz,Jun03 20
3984,Jun04 20 17:38:45,W.Boonplod,C2,Kreutz,Jun04-05 20
3985,Jun05 20 23:25:42,W.Boonplod,C2,Kreutz,Jun06 20
3986,Jun06 20 09:30:49,M.Uchina,C2,Kreutz,Jun06 20
3987,Jun06 20 18:47:39,W.Boonplod,C2,Kreutz,Jun06 20
3988,Jun06 20 20:36:46,T.Prestgard,C2,Kreutz,Jun06 20
3989,Jun07 20 10:40:50,M.Biesiada,C2,Kreutz,Jun07 20
3990,Jun07 20 23:30:27,M.Uchina,C2,Kreutz,Jun07-08 20
3991,Jun08 20 03:08:08,M.Biesiada,C2,Kreutz,Jun08 20
3992,Jun08 20 06:29:24,T.Prestgard,C2,Kreutz,Jun08 20
3993,Jun09 20 08:40:10,M.Biesiada,C2,Kreutz,Jun09 20
3994,Jun09 20 09:31:33,M.Biesiada,C2,Kreutz,Jun09 20
3995,Jun09 20 12:43:02,W.Boonplod,C2,Kreutz,Jun09 20
3996,Jun09 20 12:46:09,W.Boonplod,C2,Kreutz,Jun09 20
3997,Jun09 20 12:52:26,W.Boonplod,C2,Kreutz,Jun09 20
3998,Jun14 20 17:42:17,M.Biesiada,C2,Kreutz,Jun14 20
3999,Jun14 20 23:54:47,W.Boonplod,C3 C2,Kreutz,Jun15-16 20
4000,Jun15 20 09:19:03,T.Prestgard,C3 C2,Kreutz,Jun15-16 20
4001,Jun15 20 17:43:06, M.Kusiak, C2,Kreutz,Jun15-16 20
4002,Jun16 20 15:17:23, M.Biesiada,C3 C2,Kreutz,Jun16-17 20
4003,Jun16 20 16:34:53, W.Boonplod,C3 C2,Meyer, Jun16-17 20
4004,Jun16 20 19:48:58, M.Biesiada, C2,Kreutz,Jun16 20
4005,Jun17 20 18:16:49, M.Kusiak, C2,Kreutz,Jun17 20
4006,Jun18 20 07:37:39, M.Uchina, C2,Kreutz,Jun18 20
4007,Jun19 20 02:44:20, W.Boonplod,C3 C2,Kreutz,Jun19-20 20
4008,Jun20 20 03:32:17, W.Boonplod, C2,Meyer, Jun20 20
4009,Jun21 20 00:04:29, M.Uchina, C2,Kreutz,Jun21 20
4010,Jun21 20 00:25:31, W.Boonplod, C2,Kreutz,Jun20 20
4011,Jun21 20 11:28:40	,M.Biesiada,C3 C2,Kreutz,Jun21-22 20
4012,Jun23 20 23:26:21	,M.Uchina,C3 C2,Kreutz,Jun24 20
4013,Jun23 20 23:41:06, W.Boonplod,C3 C2,Kreutz,Jun24 20
4014,Jun26 20 22:07:21, W.Boonplod,C3 C2,Kreutz,Jun27 20
4015*, Jun28 20 09:01 AM, W.Boonplod,C3 C2,Kreutz,Jun28 20
4016,Jun29 20 06:47:50, M.Uchina, C2,Kreutz,Jun29 20
4017,Jun29 20 10:07:52, M.Uchina, C2,Kreutz,Jun29 20
4018,Jun29 20 18:56:08	,W.Boonplod, C2,Kreutz,Jun29-30 20
XC95,Jun30 20 15:21:37, M.Uchina, C2,Kreutz,Jun30 20
4046,Jun21 20 07:03:33, P.Berrett,C2,Meyer, Apr11 20
4047,Jun24 20 03:56:22, P.Berrett,C2,NonGrp,Aug17 08
4043,Jun21 20 07:03:33, P.Berrett,C2,Meyer, Apr11 20
4044,Jun24 20 03:56:22, P.Berrett,C2,NonGrp,Aug17 08
