Confirmation date, Confirmed by, Tel, Report date, Group
May 18 2020 09:03:00,Worachate Boonplod,C2, 2020-05-18 03:19:51,Kreutz group comet
May 16 2020 12:38:26,Worachate Boonplod,C2, 2020-05-16 00:11:08,Kreutz group comet
May 14 2020 13:28:29,Trygve Prestgard,C3, 2020-05-14 01:51:58,Kreutz group comet
May 13 2020 05:24:01,Worachate Boonplod,C2, 2020-05-13 04:25:43,Meyer group comet
May 12 2020 19:47:28,Masanori Uchina,C2, 2020/5/11 22:55:27,Kreutz group comet
May 11 2020 17:46:01,Masanori Uchina,C2, 2020/5/11 11:40:00,Kreutz group comet
May 11 2020 10:00:14,Worachate Boonplod,C2, 2020-05-11 09:37:23,Meyer group comet
May 11 2020 05:26:38,Worachate Boonplod,C2, 2020-05-11 03:30:36,
May 10 2020 18:20:52,Masanori Uchina,C2, 2020/5/9 20:08:05,Kreutz group comet
May 10 2020 17:34:32,Worachate Boonplod,C2, 2020-05-10 17:13:03,Kreutz group comet
May 10 2020 17:10:48,Masanori Uchina,C2,2020/5/10 01:17:19,Kreutz group comet
May 10 2020 11:31:29,Worachate Boonplod,C2,2020-05-10 02:22:24,Kreutz group comet
May 10 2020 06:43:02,Masanori Uchina,C2, 2020/5/10 01:17:19,Kreutz group comet
May 08 2020 18:15:07,Trygve Prestgard,C2, 2020-05-08 09:07:36,Kreutz group comet
May 02 2020 20:24:40,Worachate Boonplod,C2, 2020-05-02 19:23:22,Kreutz group comet
May 01 2020 09:42:40,Worachate Boonplod,C2, 2020-05-01 08:42:10, Kreutz group comet
