Confirmation date, Confirmed by, Tel, Discovery report date, Group
Jul 09 2020 07:00:58,Krzysztof Kida,C3, 20200709 06:04:20,Kreutz group comet
Jul 07 2020 14:16:29,Michal Biesiada,C3,2020-7-7 09:49:24,Kreutz group comet
Jul 06 2020 18:12:41,Worachate Boonplod,C2, 2020-07-06 11:21:31,Meyer group comet
Jul 05 2020 17:51:54,Michal Biesiada,C2,20-7-5 17:05:03,Kreutz group comet
Jul 05 2020 17:48:28,Worachate Boonplod,C2, 2020-07-05 17:05:03,Kreutz group comet
Jul 05 2020 15:36:34,Michal Biesiada,C3,20-7-5 13:25:52,Kreutz group comet
Jul 04 2020 17:16:40,Worachate Boonplod,C2, 2020-07-04 11:03:18,Meyer group comet
Jul 04 2020 09:11:42,Worachate Boonplod,C2, 2020-07-04 07:19:11,Kreutz group comet
Jul 03 2020 22:58:38,Michal Biesiada,C3,20-7-4 22:16:32,Kreutz group comet
Jul 03 2020 09:54:07,Worachate Boonplod,C2, 2020-07-03 09:01:57,
Jul 03 2020 08:16:11,Michal Biesiada, C3,20-7-3 06:30:27,Kreutz group comet
Jul 03 2020 08:15:35,Michal Biesiada,C3,20-7-3 06:50:42,Kreutz group comet
