Soho#,Date/Time of Post,Discoverer,Tel,Group,Images of...
4528,Oct05 22 13:35:13, W.Boonplod,H1 C3 C2, Kreutz,Oct05 22
4529,Oct07 22 12:22:50, Z.Yang,H1 C3 C2, Kreutz,Oct07-08 22
4530,Oct08 22 23:51:37, H.Tan,H1 C3 C2, Kreutz,Oct08-09 22
4531,Oct13 22 02:19:49, Z.Yang,H1 C3 C2, Kreutz,Oct12-13 22
4532,Oct13 22 18:47:10, W.Boonplod,H1 C2,Kreutz,Oct13 22
4533,Oct14 22 06:29:41, J.Ruan,H1 C2A C3 C2, Kreutz,Oct13-15 22
4534,Oct14 22 18:38:56, J.Ruan,C2,Kreutz,Oct14 22
4535,Oct14 22 22:06:22, W.Boonplod, C2,Kreutz,Oct15 22
4536,Oct17 22 12:41:11, J.Ruan,C2,Kreutz,Oct17 22
4537,Oct20 22 09:10:19, J.Ruan,C3 H1, NonGrp,Oct20 22
4538,Oct20 22 09:21:08, J.Ruan,C3 H1, NonGrp,Oct20-21 20
4539,Oct20 22 10:25:45, J.Ruan,C2,NonGrp,Oct20 22
4540,Oct20 22 17:53:42, H.Tan, H1 C2A C3 C2, Kreutz,Oct18-22 22
4541,Oct21 22 09:21:41, W.Boonplod,H1 C3 C2, Kreutz,Oct20-22 22
4542,Oct21 22 16:07:04, Z.Yang,C2,Kreutz,Oct21 22
4543,Oct25 22 01:53:33, Z.Yang,C2,Kreutz,Oct25 22
4544,Oct25 22 10:16:39, Z.Yang,H1 C3 C2, Kreutz,Oct24-26 22
4545,Oct27 22 15:51:44, H.Tan, H1 C2A C3 C2, Kreutz,Oct27-29 22
4546,Oct28 22 22:29:13, H.Tan, C2,Kreutz,Oct29 22
4547,Oct28 22 23:40:13, W.Boonplod,H1 C3 C2, Kreutz,Oct28-29 22
4548,Oct28 22 22:29:36, Z.Yang,C2,Kreutz,Oct29 22
4549,Oct29 22 22:26:42, P.Berrett,C2,Kreutz,Oct29 22
4550,Oct30 22 09:40:22, H.Tan, C2,Kreutz,Oct30 22
4551,Oct31 22 04:29:16, Z.Yang,C2,Kreutz,Oct31 22
