Soho#,Date / Time of Post,Discoverer,Tel,Group,Images of...
5034,Jun01 24 20:29:11,H.Tan,C2,Kreutz,Jun02 24
5035,Jun02 24 03:58:44,J.Ruan, C2,Kreutz,Jun02 24
5036,Jun03 24 12:19:37,J.Ruan, C2,Marsden, Jun03 24
5037,Jun06 24 02:58:44,H.Tan,C2,Kreutz,Jun06 24
5038,Jun09 24 13:10:42,J.Ruan, C3 C2 C2A, Kreutz,Jun09-11 24
5039,Jun11 24 04:19:37,H.Tan,C2,Kreutz,Jun11 24
5040,Jun12 24 10:14:20,J.Ruan / H.Tan, C2,Kreutz,Jun12 24
5041,Jun13 24 11:51:45,J.Ruan / H.Tan,C3 C2,Kreutz,Jun13-14 24
5042,Jun13 24 18:00:24,J.Ruan, C2,Kreutz,Jun13 24
5043,Jun14 24 01:13:23,H.Tan,C2,Kreutz,Jun14 24
5044,Jun14 24 17:37:54,H.Tan,C2,Kreutz,Jun14 24
5045,Jun15 24 12:23:20,H.Tan,C2,Kreutz,Jun15 24
5046,Jun15 24 12:23:20,H.Tan,C2,NonGrp,Jun16 24 
5047,Jun16 24 04:53:15,R.Biros,C2,Kreutz,Jun16 24
5048,Jun19 24 03:18:22,E.Banach,C2,Kreutz,Jun19 24
5049,Jun21 24 10:16:50,H.Tan,C2,Kreutz,Jun21 24
5050,Jun22 24 12:15:58,Z.Xu, C2,Kreutz,Jun22 24
5051,Jun24 24 19:37:58,H.Tan, C3 C2,Kreutz,Jun24-25 24
5052,Jun24 24 19:57:12,J.Ruan, C2,Kreutz,Jun24-25 24
5053,Jun29 24 15:54:12,Z.Xu,C3 C2,Kreutz,Jun29-Jul01 24 
5054,Jun30 24 02:14:52,J.Ruan,C3 C2,Kreutz,Jun30 24
5055,Jun30 24 11:50:30,J.Ruan,C3 C2,Kreutz,Jun30 24
5056,Jul08 24 08:35:00,Z.Yang, C2,Kreutz,Jul01 24
5057,Jul08 24 18:48:52,R.Pickard,C3 C2,Kreutz,Jul08-10 24
5058,Jul10 24 00:39:35,S.Seneviratne,C3 C2,NonGrp,Jul08 24
5059,Jul11 24 19:11:54,W.Boonplod,C3 C2,Kreutz,Jul11-12 24
5060,Jul12 24 00:53:23,J.Ruan,C3 C2,Kreutz,Jul12-13 24
5061,Jul14 24 20:28:28,J.Ruan, C3,NonGrp,Jul14 24
5062,Jul17 24 03:28:26,J.Ruan, C3,Kreutz,Jul17 24
5063,Jul17 24 16:43:03,R.Biros,C3,Kreutz,Jul17 24
5064,Jul19 24 22:23:57,J.Ruan, C2,Meyer,Jul20 24
5065,Jul25 24 05:02:32,J.Ruan, C3,Kreutz,Jul25-26 24
